Name,Address,Area,Category,Status,Notes
Casa Saffra,,Home Base,Home Base,Active,Home base for distance comparisons.
Cocina al Fondo,"658 C. San Juan, San Juan, PR 00907, Puerto Rico",Santurce / La Placita,Dinner,Active,
Taco Bell - Santurce,"150 C. Labra, San Juan, PR 00907, Puerto Rico",Santurce / La Placita,Late-night / Fast Food,Active,Your 'wasted' stop.
Vianda,"1413 Avenida Ponce de León, San Juan, PR 00907, Puerto Rico",Santurce / La Placita,Dinner,Active,
Santaella,"219 Calle Canals, San Juan, PR 00907, Puerto Rico",Santurce / La Placita,Restaurant / Cocktails,Active,Very close to La Placita.
Kasalta,"1966 McLeary Ave, San Juan, PR 00911, Puerto Rico",Ocean Park / Calle Loíza,Breakfast / Bakery,Active,
La Cueva del Mar - Calle Loíza,"1904 C. Loíza, San Juan, PR 00911, Puerto Rico",Ocean Park / Calle Loíza,Lunch / Seafood,Active,
Manzana de Java,"105 Cll Pomarrosa, San Juan, PR 00911, Puerto Rico",Ocean Park / Calle Loíza,Restaurant,Active,
Barrachina,"104 C. de la Fortaleza, San Juan, PR 00901, Puerto Rico",Old San Juan,Dinner / Piña Colada,Active,
Café Caleta,"78 Caleta de San Juan, San Juan, PR 00901, Puerto Rico",Old San Juan,Coffee / Brunch / Drinks,Active,
La Factoría,"148 Calle San Sebastián, San Juan, PR 00901, Puerto Rico",Old San Juan,Nightlife / Cocktails,Active,
SPIGA,"258 C. de San Justo, San Juan, PR 00901, Puerto Rico",Old San Juan,Bakery / Café,Active,
Cafetería Mallorca,"300 C. de San Francisco, San Juan, PR 00901, Puerto Rico",Old San Juan,Breakfast / Bakery,Active,
El Jibarito,"280 C. del Sol, San Juan, PR 00901, Puerto Rico",Old San Juan,Puerto Rican,Active,
Deaverdura,"200 C. del Sol, San Juan, PR 00901, Puerto Rico",Old San Juan,Puerto Rican,Active,
The Cannon Club,"215 C. de San Sebastián, San Juan, PR 00901, Puerto Rico",Old San Juan,Piano Bar / Cocktails,Active,
Pirilo Pizza Rústica - Old San Juan,"207 C. de la Tanca, San Juan, PR 00901, Puerto Rico",Old San Juan,Pizza / Dinner,Active,
Verde Mesa,"107 Calle Tetuán Esq. C. de San José, San Juan, PR 00901, Puerto Rico",Old San Juan,Restaurant,Active,
Materia Prima,"100 Calle del Cristo, San Juan, PR 00901, Puerto Rico",Old San Juan,Restaurant / Market,Active,Inside Hotel El Convento.
Cui Cui Viejo San Juan,"104 C. de San Sebastián, San Juan, PR 00901, Puerto Rico",Old San Juan,Cocktail Bar / Restaurant,Active,
